Name,State_Available,State Name,UNLOC,Country
shkoder,n,nan,alshk,al
shkozet,n,nan,alshz,al
shengjin,n,nan,alshg,al
tenes,n,nan,alten,al
tirana,n,nan,altia,al
vlore,n,nan,alvoa,al
vore,n,nan,alvor,al
abovyan,n,nan,amabo,am
akhuryan,n,nan,amahu,am
aparan,n,nan,ama3a,am
aragatsotn,n,nan,amarg,am
ararat,n,nan,amara,am
armavir,n,nan,amarv,am
ashtarak,n,nan,amash,am
berd,n,nan,ambrd,am
byureghavan,n,nan,ambyu,am
dilijan,n,nan,amdil,am
ecmiadzin,n,nan,amezn,am
goris,n,nan,amgrs,am
gyumri,n,nan,amlwn,am
jermuk,n,nan,amjer,am
kajaran,n,nan,amkjn,am
kapan,n,nan,amkpn,am
masis,n,nan,amarm,am
mets masrik,n,nan,ammma,am
metsamor,n,nan,ammtr,am
rind,n,nan,amrn4,am
spitak,n,nan,amspi,am
vanadzor,n,nan,amvzr,am
vedi,n,nan,amved,am
yerevan,n,nan,amevn,am
ambriz,n,nan,aoazz,ao
andulo,n,nan,aoanl,ao
armada olombendo fpso,n,nan,aoaro,ao
baba,n,nan,aobab,ao
barra do dande,n,nan,aobdd,ao
baia dos tigres,n,nan,aobdt,ao
belas,n,nan,aobel,ao
benguela,n,nan,aobug,ao
cabinda,n,nan,aocab,ao
cafunfo,n,nan,aocff,ao
cangamba,n,nan,aocnz,ao
capanda,n,nan,aoknp,ao
capulo,n,nan,aocpo,ao
catumbela,n,nan,aocbt,ao
cazombo,n,nan,aocav,ao
chitato,n,nan,aopgi,ao
clov fpso,n,nan,aoclv,ao
cuio,n,nan,aocui,ao
cuito cuanavale,n,nan,aocti,ao
dalia,n,nan,aodal,ao
dirico,n,nan,aodrc,ao
dombe grande,n,nan,aodgr,ao
dundo,n,nan,aodue,ao
essungo terminal,n,nan,aoetn,ao
farta bay,n,nan,aofby,ao
futila terminal,n,nan,aoflt,ao
gimboa,n,nan,aogim,ao
girassol terminal,n,nan,aogir,ao
greater plutonio,n,nan,aogpo,ao
huambo,n,nan,aonov,ao
jamba,n,nan,aojmb,ao
kiame terminal,n,nan,aokti,ao
kuito,n,nan,aosvp,ao
kuito terminal,n,nan,aokot,ao
landana,n,nan,aolaa,ao
lieura,n,nan,aolie,ao
lobito,n,nan,aolob,ao
lombo terminal,n,nan,aolbt,ao
luanda,n,nan,aolad,ao
luau,n,nan,aoual,ao
lubango,n,nan,aosdd,ao
lucira,n,nan,aoluc,ao
luena,n,nan,aoluo,ao
lukapa,n,nan,aolbz,ao
lumbala,n,nan,aoggc,ao
luzamba,n,nan,aolzm,ao
m'banza congo,n,nan,aossy,ao
malange,n,nan,aomeg,ao
malembo,n,nan,aomlo,ao
malongo,n,nan,aomal,ao
maquela do zombo,n,nan,aomdz,ao
matala,n,nan,aomtl,ao
menongue,n,nan,aospp,ao
mocamedes,n,nan,aomos,ao
n'dalatando,n,nan,aondf,ao
n'riquinha,n,nan,aonrq,ao
n'zeto,n,nan,aoarz,ao
n'zeto,n,nan,aonto,ao
namibe,n,nan,aomsz,ao
negage,n,nan,aogxg,ao
nzagi,n,nan,aonza,ao
noqui,n,nan,aonqi,ao
ondjiva,n,nan,aongv,ao
ongiva,n,nan,aovpe,ao
palanca terminal,n,nan,aopat,ao
pazflor fpso,n,nan,aopaz,ao
porto alexandre,n,nan,aople,ao
porto amboim,n,nan,aopbn,ao
porto saco,n,nan,aopsa,ao
river sao nicolau,n,nan,aorsn,ao
santa clara,n,nan,aostc,ao
saurimo,n,nan,aovhc,ao
saxi batuque fpso,n,nan,aosbt,ao
sazaire terminal,n,nan,aostl,ao
soyo,n,nan,aosza,ao
soyo-quinfuquena terminal,n,nan,aosoq,ao
sumbe,n,nan,aondd,ao
takula terminal,n,nan,aotak,ao
uige,n,nan,aougo,ao
viana,n,nan,aovna,ao
waku kungo,n,nan,aoceo,ao
xangongo,n,nan,aoxgn,ao
aboa,n,nan,aqaba,aq
amundsen-scott,n,nan,aqams,aq
arctowski,n,nan,aqarc,aq
artigas,n,nan,aqart,aq
arturo prat,n,nan,aqapt,aq
belgrano ii,n,nan,aqbel,aq
bellingshausen,n,nan,aqbhn,aq
casey station,n,nan,aqcas,aq
comandante ferraz,n,nan,aqcfz,aq
concordia,n,nan,aqcon,aq
davis station,n,nan,aqdav,aq
dome fuji,n,nan,aqdmf,aq
druzhnaya 4,n,nan,aqdrz,aq
dumont d'urville station,n,nan,aqddu,aq
escudero,n,nan,aqesc,aq
esperanza,n,nan,aqesp,aq
gabriel de castilla,n,nan,aqgdc,aq
general bernardo o'higgins,n,nan,aqohg,aq
great wall,n,nan,aqgwl,aq
halley,n,nan,aqhly,aq
jang bogo station,n,nan,aqjbs,aq
juan carlos primero,n,nan,aqjcp,aq
jubany,n,nan,aqjub,aq
king sejong,n,nan,aqksg,aq
kohnen,n,nan,aqkhn,aq
law base,n,nan,aqlaw,aq
maitri,n,nan,aqmtr,aq
marambio,n,nan,aqmrb,aq
mario zucchelli,n,nan,aqmzu,aq
mawson station,n,nan,aqmaw,aq
mcmurdo,n,nan,aqmcm,aq
mirny,n,nan,aqmir,aq
neumayer,n,nan,aqneu,aq
novolazarevskaya,n,nan,aqnov,aq
orcadas,n,nan,aqorc,aq
palmer,n,nan,aqplm,aq
port foster,n,nan,aqpfs,aq
progress,n,nan,aqpro,aq
rothera,n,nan,aqrot,aq
san martin,n,nan,aqsmt,aq
sanae iv,n,nan,aqsna,aq
scott base,n,nan,aqsba,aq
signy,n,nan,aqsgn,aq
syowa,n,nan,aqsyw,aq
teniente r. marsh,n,nan,aqtnm,aq
tor,n,nan,aqtor,aq
troll,n,nan,aqtrl,aq
vernadsky,n,nan,aqvky,aq
vostok,n,nan,aqvos,aq
wasa,n,nan,aqwsa,aq
zhongshan,n,nan,aqzgn,aq
abasto,n,nan,araba,ar
acaragua,y,misiones,araca,ar
acassuso,y,buenos aires,aracs,ar
acevedo,y,buenos aires,aravd,ar
acheral,y,tucuman,arac5,ar
adelia maria,y,cordoba,arama,ar
agrelo,y,mendoza,argeo,ar
aguilares,y,tucuman,arags,ar
aimogasta,y,la rioja,araim,ar
albardon,y,san juan,araln,ar
alberti,y,buenos aires,arali,ar
aldea escolar,y,chubut,araea,ar
alderetes,y,tucuman,arads,ar
allen,y,rio negro,arall,ar
almafuerte,y,cordoba,arale,ar
alsina,n,nan,arals,ar
alto de sierra,y,san juan,arasl,ar
alto rio senguerr,y,chubut,ararr,ar
alto verde,y,mendoza,arltv,ar
alvarez,y,santa fe,aralz,ar
alvear,y,santa fe,aravr,ar
ancon,y,buenos aires,aranc,ar
andacollo,y,neuquen,aradc,ar
andalgala,y,catamarca,arand,ar
angaco,y,san juan,arano,ar
apolinario saravia,y,salta,arasa,ar
apostoles,y,misiones,arapo,ar
aranguren,y,entre rios,ararn,ar
arias,y,cordoba,arari,ar
aristobulo del valle,y,misiones,aravo,ar
armstrong,y,santa fe,ararg,ar
arrecifes,y,buenos aires,aracf,ar
arroyito,y,cordoba,arayo,ar
arroyo seco,n,nan,araso,ar
asturias,n,nan,arast,ar
atucha,y,buenos aires,aratu,ar
avellaneda,y,ciudad autonoma de buenos aires,arave,ar
avellaneda,y,santa fe,aravs,ar
azul,y,buenos aires,arazu,ar
anatuya,y,santiago del estero,arana,ar
anelo,y,neuquen,aralo,ar
bahia san blas,y,buenos aires,arbsb,ar
bahia blanca,y,buenos aires,arbhi,ar
bajo grande,y,la rioja,arbaj,ar
bajo hondo,y,buenos aires,arbho,ar
balcarce,y,buenos aires,arbca,ar
ballesteros,y,cordoba,arbes,ar
banda del rio sali,y,tucuman,arbdr,ar
banfield,y,buenos aires,arbad,ar
baradero,y,buenos aires,arbar,ar
barrancas,y,mendoza,arbas,ar
barranqueras,y,chaco,arbqs,ar
barreal,y,san juan,arbal,ar
barrio batan,y,buenos aires,arbtn,ar
barrio marquez de sobremonte,y,cordoba,arbms,ar
beccar,y,buenos aires,arbec,ar
bell ville,y,cordoba,arbvl,ar
bella vista,y,buenos aires,arbel,ar
bella vista,y,tucuman,arbva,ar
bella vista,y,corrientes,arbvc,ar
belen de escobar,y,buenos aires,arbde,ar
benavidez,y,buenos aires,arbvz,ar
bengolea,y,cordoba,arbea,ar
benito juarez,y,buenos aires,arbjr,ar
berazategui,y,buenos aires,arber,ar
bernal,y,buenos aires,arbrn,ar
bombal,y,santa fe,arbol,ar
boulogne,y,buenos aires,arbou,ar
bowen,y,mendoza,arbon,ar
bragado,y,buenos aires,arbgo,ar
brandsen,y,buenos aires,arbrd,ar
buenos aires,y,ciudad autonoma de buenos aires,arbue,ar
burruyacu,y,tucuman,arbuu,ar
burzaco,y,buenos aires,arbur,ar
caballito,y,buenos aires,arcab,ar
cabo san antonio,n,nan,arcsa,ar
cafayate,y,salta,arcfy,ar
calabacillas,y,entre rios,arcas,ar
caleta cordoba,y,cordoba,arclc,ar
caleta olivia,y,santa cruz,arcvi,ar
campana,y,buenos aires,arcmp,ar
campo grande,y,misiones,arcgo,ar
campo largo,y,chaco,arclo,ar
campo quijano,y,salta,arcqo,ar
campo ramon,y,misiones,arcro,ar
campo salto,y,salta,armpo,ar
campo santo,y,salta,arcso,ar
campo viera,y,misiones,arcvo,ar
canada rosquin,y,santa fe,arcrl,ar
canals,y,cordoba,arcnl,ar
candelaria,y,misiones,arcdl,ar
canning,y,buenos aires,arcnn,ar
canuelas,y,buenos aires,arcae,ar
capilla del senor,y,buenos aires,arcds,ar
capitan bermudez,n,nan,arcbz,ar
capitan sarmiento,y,buenos aires,arcsn,ar
carcarana,y,santa fe,arcaa,ar
carlos casares,y,buenos aires,arccb,ar
carmen de areco,y,buenos aires,arcan,ar
carmen de patagones,y,buenos aires,arcpg,ar
carmen del sauce,y,santa fe,arcdn,ar
carnerillo,y,cordoba,arcao,ar
caseros,y,buenos aires,arore,ar
casilda,y,santa fe,arcsl,ar
castelar,y,buenos aires,arctl,ar
catamarca,y,catamarca,arctc,ar
catinzaco,y,la rioja,arcat,ar
catrilo,y,la pampa,arcto,ar
caucete,y,san juan,arcue,ar
caviahue,y,neuquen,arcvh,ar
canada de gomez,y,santa fe,arcga,ar
centenario,y,buenos aires,arcen,ar
ceres,y,santa fe,arcrr,ar
cerro azul,y,misiones,arcal,ar
cevil pozo,y,tucuman,arcvp,ar
cevil redondo,y,tucuman,arcra,ar
chabas,y,santa fe,arcss,ar
chacabuco,y,buenos aires,arcco,ar
chacras de coria,y,mendoza,arcdc,ar
chajari,y,entre rios,archa,ar
charata,y,chaco,arcnt,ar
chascomus,y,buenos aires,archs,ar
chilecito,y,la rioja,archo,ar
chimbas,y,san juan,arcbs,ar
chimpay,y,rio negro,arcpy,ar
chivilcoy,y,buenos aires,arcvy,ar
choele choel,y,rio negro,archl,ar
chos malal,y,neuquen,arhos,ar
cinco saltos,y,rio negro,arcst,ar
cipoletti,y,rio negro,arcpa,ar
city bell,y,buenos aires,arcyb,ar
ciudad evita,y,buenos aires,areva,ar
ciudadela,y,buenos aires,arciu,ar
classon,y,santa fe,arcln,ar
clorinda,y,la rioja,arclx,ar
colazo,y,cordoba,arczo,ar
colonia caroya,y,cordoba,arcry,ar
colonia catriel,y,rio negro,arcct,ar
colonia sarmiento,y,chubut,aroln,ar
colon,y,entre rios,arcol,ar
colon,y,ciudad autonoma de buenos aires,arcoo,ar
comodoro rivadavia,y,chubut,arcrd,ar
concepcion de la sierra,y,misiones,arcos,ar
concepcion,y,corrientes,arcon,ar
concepcion del uruguay,y,entre rios,arcou,ar
conception,y,tucuman,arccp,ar
concordia,y,entre rios,arcoc,ar
contralmirante martin guerrico,y,rio negro,arcmg,ar
coquimbito,y,mendoza,ariqo,ar
coronda,y,santa fe,arcoa,ar
coronel suarez,y,buenos aires,arcsz,ar
corrientes,y,corrientes,arcnq,ar
costa de araujo,y,mendoza,arcda,ar
crespo,y,entre rios,arceo,ar
cruz alta,y,cordoba,arcaz,ar
cruz de piedra,y,mendoza,arcdp,ar
cruz del eje,y,cordoba,arcde,ar
cuadro nacional,y,mendoza,arcno,ar
bahia blanca,y,buenos aires,arcua,ar
curuzu cuatia,y,corrientes,aruzu,ar
cutral-co,y,neuquen,arcut,ar
cordoba,y,cordoba,arcor,ar
daireaux,y,buenos aires,ardix,ar
del guazu,y,entre rios,ardgu,ar
del viso,y,buenos aires,aradv,ar
diamante,y,rio negro,ardme,ar
dock sud,y,ciudad autonoma de buenos aires,ardks,ar
dock sur,y,buenos aires,ardsu,ar
don torcuato,y,buenos aires,ardcu,ar
dorrego,y,mendoza,ardor,ar
el bolson,y,rio negro,arehl,ar
el bolson,y,catamarca,arelb,ar
el bordo,y,salta,arebo,ar
el calafate,y,santa cruz,arfte,ar
el carril,y,salta,arjec,ar
el maiten,y,chubut,aremx,ar
el palomar,y,buenos aires,arepa,ar
el plumerillo,y,mendoza,arelp,ar
el talar de pacheco,y,buenos aires,aretp,ar
el trebol,y,santa fe,aretl,ar
eldorado,y,misiones,arelo,ar
embarcacion,y,salta,arzai,ar
ensenada,y,buenos aires,areea,ar
espeleta,y,buenos aires,arepl,ar
esperanza,y,santa fe,aresp,ar
esquel,y,chubut,areqs,ar
esteban echeverria,y,buenos aires,arese,ar
etruria,y,cordoba,arjtr,ar
eugenio bustos,y,mendoza,areba,ar
ezeiza,y,buenos aires,areza,ar
famailla,y,tucuman,arfam,ar
federacion,y,entre rios,arfen,ar
fernandez,y,santiago del estero,arfer,ar
ferreyra,y,cordoba,arfrr,ar
florencio varela,y,buenos aires,arfvb,ar
florida,y,buenos aires,arflo,ar
formosa,y,formosa,arfma,ar
franck,y,santa fe,arfrk,ar
fray luis a. beltran,y,santa fe,arflb,ar
fray luis beltran,y,mendoza,arfbe,ar
freyre,y,cordoba,arfry,ar
frontera,y,cordoba,arfrt,ar
fuentes,y,santa fe,arxlm,ar
funes,y,santa fe,arfns,ar
garupa,y,misiones,argru,ar
garin,y,buenos aires,argar,ar
general alvear,y,mendoza,argva,ar
general belgrano,y,buenos aires,argbe,ar
general cabrera,y,cordoba,argca,ar
general deheza,y,cordoba,argdl,ar
general enrique godoy,y,rio negro,arxsa,ar
general enrique mosconi,y,salta,arnes,ar
general gutierrez,y,mendoza,argdg,ar
general guemes,y,salta,arggl,ar
general lagos,y,santa fe,argls,ar
general lavalle,y,buenos aires,arglv,ar
general madariaga,y,buenos aires,argma,ar
general pacheco,y,buenos aires,argpc,ar
general pico,y,la pampa,argpo,ar
general ramirez,y,entre rios,argrm,ar
general roca,y,rio negro,argnr,ar
general rodriguez,y,buenos aires,argrd,ar
general villegas,y,buenos aires,arvgs,ar
gerli,y,buenos aires,arjgr,ar
gobernador benegas,y,mendoza,argob,ar
gobernador crespo,y,santa fe,arvlv,ar
gobernador gregores,y,santa cruz,arggs,ar
gobernador roca,y,misiones,argrc,ar
godoy cruz,y,mendoza,argcr,ar
gonzalez catan,y,buenos aires,argoc,ar
gowland,y,buenos aires,argod,ar
goya,y,corrientes,aroya,ar
granadero baigorria,y,santa fe,argrb,ar
grand bourg,y,buenos aires,argbg,ar
gualeguay,y,entre rios,arguy,ar
gualeguaychu,y,entre rios,arghu,ar
guaymallen,y,mendoza,argym,ar
guerrico,y,buenos aires,argur,ar
galvez,y,santa fe,argvl,ar
guemes,y,tucuman,argum,ar
haedo,y,buenos aires,arhae,ar
hernando,y,cordoba,arher,ar
herrera vegas,y,buenos aires,arhvb,ar
hickmann,y,salta,arhic,ar
hughes,y,santa fe,arhug,ar
humboldt,y,santa fe,arhum,ar
hurlingham,y,buenos aires,arhur,ar
ibicuy,y,entre rios,ariby,ar
iguazu,y,misiones,arigr,ar
ingeniero allan,y,buenos aires,arial,ar
ingeniero buitrago,y,buenos aires,arbui,ar
ingeniero giagnoni,y,mendoza,arigi,ar
ingeniero j. allan,y,buenos aires,arjjl,ar
ingeniero jacobacci,y,rio negro,arigb,ar
ingeniero luis a. huergo,y,rio negro,arilh,ar
ingeniero maschwitz,y,buenos aires,arimz,ar
bahia blanca,y,buenos aires,arinw,ar
ireneo portela,y,buenos aires,arica,ar
isidro casanova,y,catamarca,aricv,ar
ituzaingo,y,buenos aires,aritz,ar
jauregui,y,buenos aires,arwnl,ar
buenos aires,y,buenos aires,araep,ar
jose leon suarez,y,buenos aires,arjls,ar
jose c. paz,y,buenos aires,arjpz,ar
jose de san martin,y,chubut,arjsm,ar
jujuy,y,jujuy,arjuj,ar
junin,y,mendoza,arnin,ar
junin,y,buenos aires,arjni,ar
junin de los andes,y,neuquen,arjun,ar
justiniano posse,y,cordoba,arjpx,ar
juarez celman,y,cordoba,arjua,ar
la calera,y,cordoba,arlcr,ar
la carlota,y,cordoba,arlct,ar
la consulta,y,mendoza,arllm,ar
la cumbre,y,cordoba,arlcm,ar
la escondida,y,chaco,arles,ar
la falda,y,cordoba,arlfl,ar
la paz,y,entre rios,arlpa,ar
la paz,y,mendoza,arlpm,ar
la plata,y,buenos aires,arlpg,ar
la quiaca,y,jujuy,arlqu,ar
la reja,y,buenos aires,arlar,ar
la rioja,y,la rioja,arirj,ar
la tablada,y,santiago del estero,arlat,ar
la toma,y,san luis,arlta,ar
laferrere,y,buenos aires,arlfr,ar
lago argentino,y,santa cruz,aring,ar
